publishedTimeText,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths
1 month ago,"Ada yg ngrasa ga sih,videonya kaya ada effek² nya kaya melengkung² gitu ???",3425,@TezaPrasetyo,FALSE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,iya ih,62,@user-ss5vp4gd1g,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iyaaa kayak dip dip,46,@serinawati446,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"Iya aku rasa, mungkin settingannya belum pas kan ini kamera baru best ??",206,@febiliamarstuti4146,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iy ritsuki kepalany jadi gede trs balik kecil lagi??,137,@wafiatinnikmah3335,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago," @user-rj9pk3or6u  bagus"" aja kok, mungkin belum pas aja settingannya",87,@febiliamarstuti4146,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Emang efek dari si kamera dj osmo itu emang agak wide look nya,71,@Shxxxxx25,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,? @user-rj9pk3or6u harap maklum soalnya kan kamera baru nnti jg diperbaiki lagi sma mama meganya,50,@widiawati8279,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"Maaf best ini mama pakek kamera baru, jadi mama mega masih belajar seting menyeting & belum terbiasa juga.",62,@lestari661,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"kayanya dari filter badan deh, kl liat di tiktok yg org2 pake filter tirus juga gitu kl muka nya ketutup/gerak2 jadi kembang kempis",25,@LindaNoviara,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iya maaf ya pake kamera baru trus yg pgang blm ahli gomen y,1957,@Ueno_family,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iyaa bener,10,@gadisarista7481,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago," @Ueno_family gapapa umaa, tetep bagus kok?",94,@ledhiver,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Keknya tripod aja umma kameramennya hanya cek gambar udh pas blm soalnya klo dia gerak efeknya juga gerak gt? @Ueno_family ,27,@apriliahasanah4914,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago," @Ueno_family  iyaa umma, gpp kok umma",7,@febiliamarstuti4146,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,jadi pusing ??,2,@user-hb1uj9ef5h,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago, @Ueno_family gpp uma,4,@ardityanusa7512,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Rasenya pakai wide camera..cuba lepasni jgn pakai wide,12,@syookhai,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,? @Ueno_family iya gapapa mameg.. semangat ngontennyaaa :))),2,@Anjarev1234-bg4wr,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,? @user-rj9pk3or6u kualitas gambarnya bagus cahayanya gitu lebih cantik dan bersih cuman untuk videonya jadi cembung cekung mungkin harus ada yg di perbaiki lagi settingannya,14,@yoriwithsaki,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago, @Ueno_family siapa kameramen baru umaaaa,3,@Jihanfatira,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"? @Ueno_family  gapapa umma, tetep bagus kokkk?",1,@scccasyaa,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iya ih aku kira aku yg pusing,0,@risacahyanti6986,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago, @user-hb1uj9ef5h  aku malah lucu ya wkwk semangat umaa,1,@OtomtfOptmacahaya,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago," @Ueno_family  gapapa umaaa, namanya juga pemula hehehe. tapi jadi enak, uma gak perlu capek megangin kamera lagi sekarangg",1,@ariq7150,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"iyaa padahal penyuntingan video bagus,cmn hasil videonya kyk ada melengkung2 nya yaa",2,@danisaapriliyanti2544,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago," @Ueno_family gapapa uma sambil belajar lagii, semangaatt umma?",0,@dewisrisagita9149,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Tapi kameranya jernih banget coo bagus gitu????,2,@Cindy_Agustin,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"gapapa ummaa, tapi videonya jadi baguss? @Ueno_family ",0,@winterbear3440,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Tapi kameranya jernih banget bagus gitu looo????,4,@Cindy_Agustin,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,betullll,0,@oktaviyanitarigan7306,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iyaa,0,@rayasilfia7434,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago, @Ueno_family kameramen umma siapa maa,0,@dlmel_n4330,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"kayanya karna dikasih efek kurus jadinya tiap ngeshoot orang dikurusin gitu, cmiiw, semangat mamegg, hasil videonya bagus HD dan terang ??",3,@freykeoghan,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iyaa bener ke ganggu banget kita yg nonton,0,@momol971,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,Iy,0,@DRAMARIFKY123,TRUE,FALSE,FALSE,FALSE,,FALSE,
1 month ago,"Ini mungkin si kaca kecil yang yusuke bilang kalau pakai itu jadi wide gambarnya, tapi enggak papa umaa semua orang berproses, in syaa allah pelan-pelan menjadi lebih baik, tapi terimakasih yaa umaa untuk selalu upload vidio terus karna aku selalu menunggu vidio @ueno_family, in syaa allah sehat selalu, bahagia selalu dan selalu dalam lindungan Allah SWT aamiin aamiin ya Allah????",0,@gakpapasih_2280,TRUE,FALSE,FALSE,FALSE,,FALSE,
